Variables;result
y_plant2_pipe6_d4;0
x_plant2_pipe7_d1;0
y_plant2_pipe7_d1;1
x_plant2_pipe7_d3;0
y_plant2_pipe7_d3;0
x_plant2_pipe7_d4;0
y_plant2_pipe7_d4;0
x_plant2_pipe8_d1;0
y_plant2_pipe8_d1;1
x_plant2_pipe8_d3;0
y_plant2_pipe8_d3;0
x_plant2_pipe8_d4;0
y_plant2_pipe8_d4;0
x_plant2_pipe9_d1;272,145591206179
y_plant2_pipe9_d1;0,770950683303624
x_plant2_pipe9_d3;0
y_plant2_pipe9_d3;0
x_plant2_pipe9_d4;466,344408793821
y_plant2_pipe9_d4;0,229049316696376
x_plant2_pipe10_d1;0
y_plant2_pipe10_d1;1
x_plant2_pipe10_d3;0
y_plant2_pipe10_d3;0
x_plant2_pipe10_d4;0
y_plant2_pipe10_d4;0
x_plant2_pipe11_d1;0
y_plant2_pipe11_d1;1
x_plant2_pipe11_d3;0
y_plant2_pipe11_d3;0
x_plant2_pipe11_d4;0
y_plant2_pipe11_d4;0
x_plant2_pipe12_d1;0
y_plant2_pipe12_d1;1
x_plant2_pipe12_d3;0
y_plant2_pipe12_d3;0
x_plant2_pipe12_d4;0
y_plant2_pipe12_d4;0
x_plant2_pipe13_d1;0
y_plant2_pipe13_d1;1
x_plant2_pipe13_d3;0
y_plant2_pipe13_d3;0
x_plant2_pipe13_d4;0
y_plant2_pipe13_d4;0
x_plant2_pipe14_d1;0
y_plant2_pipe14_d1;1
x_plant2_pipe14_d3;0
y_plant2_pipe14_d3;0
x_plant2_pipe14_d4;0
y_plant2_pipe14_d4;0
x_plant2_pipe15_d1;0
y_plant2_pipe15_d1;1
x_plant2_pipe15_d3;0
y_plant2_pipe15_d3;0
x_plant2_pipe15_d4;0
y_plant2_pipe15_d4;0
x_plant2_pipe16_d1;0
y_plant2_pipe16_d1;1
x_plant2_pipe16_d3;0
y_plant2_pipe16_d3;0
x_plant2_pipe16_d4;0
y_plant2_pipe16_d4;0
x_plant2_pipe17_d1;0
y_plant2_pipe17_d1;1
x_plant2_pipe17_d3;0
y_plant2_pipe17_d3;0
x_plant2_pipe17_d4;0
y_plant2_pipe17_d4;0
x_plant2_pipe18_d1;0
y_plant2_pipe18_d1;1
x_plant2_pipe18_d3;0
y_plant2_pipe18_d3;0
x_plant2_pipe18_d4;0
y_plant2_pipe18_d4;0
x_plant2_pipe19_d1;0
y_plant2_pipe19_d1;1
x_plant2_pipe19_d3;0
y_plant2_pipe19_d3;0
x_plant2_pipe19_d4;0
y_plant2_pipe19_d4;0
x_plant2_pipe20_d1;0
y_plant2_pipe20_d1;1
x_plant2_pipe20_d3;0
y_plant2_pipe20_d3;0
x_plant2_pipe20_d4;0
y_plant2_pipe20_d4;0
x_plant2_pipe21_d1;0
y_plant2_pipe21_d1;1
x_plant2_pipe21_d3;0
y_plant2_pipe21_d3;0
x_plant2_pipe21_d4;0
y_plant2_pipe21_d4;0
x_plant2_pipe22_d1;0
y_plant2_pipe22_d1;1
x_plant2_pipe22_d3;0
y_plant2_pipe22_d3;0
x_plant2_pipe22_d4;0
y_plant2_pipe22_d4;0
x_plant2_pipe23_d1;0
y_plant2_pipe23_d1;1
x_plant2_pipe23_d3;0
y_plant2_pipe23_d3;0
x_plant2_pipe23_d4;0
y_plant2_pipe23_d4;0
x_plant2_pipe24_d1;0
y_plant2_pipe24_d1;1
x_plant2_pipe24_d3;0
y_plant2_pipe24_d3;0
x_plant2_pipe24_d4;0
y_plant2_pipe24_d4;0
x_plant2_pipe25_d1;215,29
y_plant2_pipe25_d1;1
x_plant2_pipe25_d3;0
y_plant2_pipe25_d3;0
x_plant2_pipe25_d4;0
y_plant2_pipe25_d4;0
x_plant2_pipe26_d1;0
y_plant2_pipe26_d1;1
x_plant2_pipe26_d3;0
y_plant2_pipe26_d3;0
x_plant2_pipe26_d4;0
y_plant2_pipe26_d4;0
x_plant2_pipe27_d1;0
y_plant2_pipe27_d1;1
x_plant2_pipe27_d3;0
y_plant2_pipe27_d3;0
x_plant2_pipe27_d4;0
y_plant2_pipe27_d4;0
x_plant3_pipe1_d1;0
y_plant3_pipe1_d1;1
x_plant3_pipe1_d3;0
y_plant3_pipe1_d3;0
x_plant3_pipe1_d4;0
y_plant3_pipe1_d4;0
x_plant3_pipe2_d1;0
y_plant3_pipe2_d1;1
x_plant3_pipe2_d3;0
y_plant3_pipe2_d3;0
x_plant3_pipe2_d4;0
y_plant3_pipe2_d4;0
x_plant3_pipe3_d1;0
y_plant3_pipe3_d1;1
x_plant3_pipe3_d3;0
y_plant3_pipe3_d3;0
x_plant3_pipe3_d4;0
y_plant3_pipe3_d4;0
x_plant3_pipe4_d1;0
y_plant3_pipe4_d1;1
x_plant3_pipe4_d3;0
y_plant3_pipe4_d3;0
x_plant3_pipe4_d4;0
y_plant3_pipe4_d4;0
x_plant3_pipe5_d1;0
y_plant3_pipe5_d1;1
x_plant3_pipe5_d3;0
y_plant3_pipe5_d3;0
x_plant3_pipe5_d4;0
y_plant3_pipe5_d4;0
x_plant3_pipe6_d1;0
y_plant3_pipe6_d1;1
x_plant3_pipe6_d3;0
y_plant3_pipe6_d3;0
x_plant3_pipe6_d4;0
y_plant3_pipe6_d4;0
x_plant3_pipe7_d1;0
y_plant3_pipe7_d1;1
x_plant3_pipe7_d3;0
y_plant3_pipe7_d3;0
x_plant3_pipe7_d4;0
y_plant3_pipe7_d4;0
x_plant3_pipe8_d1;0
y_plant3_pipe8_d1;1
x_plant3_pipe8_d3;0
y_plant3_pipe8_d3;0
x_plant3_pipe8_d4;0
y_plant3_pipe8_d4;0
x_plant3_pipe9_d1;0
y_plant3_pipe9_d1;1
x_plant3_pipe9_d3;0
y_plant3_pipe9_d3;0
x_plant3_pipe9_d4;0
y_plant3_pipe9_d4;0
x_plant3_pipe10_d1;0
y_plant3_pipe10_d1;1
x_plant3_pipe10_d3;0
y_plant3_pipe10_d3;0
x_plant3_pipe10_d4;0
y_plant3_pipe10_d4;0
x_plant3_pipe11_d1;0
y_plant3_pipe11_d1;1
x_plant3_pipe11_d3;0
y_plant3_pipe11_d3;0
x_plant3_pipe11_d4;0
y_plant3_pipe11_d4;0
x_plant3_pipe12_d1;0
y_plant3_pipe12_d1;1
x_plant3_pipe12_d3;0
y_plant3_pipe12_d3;0
x_plant3_pipe12_d4;0
y_plant3_pipe12_d4;0
x_plant3_pipe13_d1;0
y_plant3_pipe13_d1;1
x_plant3_pipe13_d3;0
y_plant3_pipe13_d3;0
x_plant3_pipe13_d4;0
y_plant3_pipe13_d4;0
x_plant3_pipe14_d1;0
y_plant3_pipe14_d1;1
x_plant3_pipe14_d3;0
y_plant3_pipe14_d3;0
x_plant3_pipe14_d4;0
y_plant3_pipe14_d4;0
x_plant3_pipe15_d1;0
y_plant3_pipe15_d1;1
x_plant3_pipe15_d3;0
y_plant3_pipe15_d3;0
x_plant3_pipe15_d4;0
y_plant3_pipe15_d4;0
x_plant3_pipe16_d1;0
y_plant3_pipe16_d1;1
x_plant3_pipe16_d3;0
y_plant3_pipe16_d3;0
x_plant3_pipe16_d4;0
y_plant3_pipe16_d4;0
x_plant3_pipe17_d1;288,614729649436
y_plant3_pipe17_d1;0,817605466428996
x_plant3_pipe17_d3;0
y_plant3_pipe17_d3;0
x_plant3_pipe17_d4;371,355270350564
y_plant3_pipe17_d4;0,182394533571004
x_plant3_pipe18_d1;56,51
y_plant3_pipe18_d1;1
x_plant3_pipe18_d3;0
y_plant3_pipe18_d3;0
x_plant3_pipe18_d4;0
y_plant3_pipe18_d4;0
x_plant3_pipe19_d1;0
y_plant3_pipe19_d1;1
x_plant3_pipe19_d3;0
y_plant3_pipe19_d3;0
x_plant3_pipe19_d4;0
y_plant3_pipe19_d4;0
x_plant3_pipe20_d1;0
y_plant3_pipe20_d1;1
x_plant3_pipe20_d3;0
y_plant3_pipe20_d3;0
x_plant3_pipe20_d4;0
y_plant3_pipe20_d4;0
x_plant3_pipe21_d1;0
y_plant3_pipe21_d1;1
x_plant3_pipe21_d3;0
y_plant3_pipe21_d3;0
x_plant3_pipe21_d4;0
y_plant3_pipe21_d4;0
x_plant3_pipe22_d1;0
y_plant3_pipe22_d1;1
x_plant3_pipe22_d3;0
y_plant3_pipe22_d3;0
x_plant3_pipe22_d4;0
y_plant3_pipe22_d4;0
x_plant3_pipe23_d1;0
y_plant3_pipe23_d1;1
x_plant3_pipe23_d3;0
y_plant3_pipe23_d3;0
x_plant3_pipe23_d4;0
y_plant3_pipe23_d4;0
x_plant3_pipe24_d1;0
y_plant3_pipe24_d1;1
x_plant3_pipe24_d3;0
y_plant3_pipe24_d3;0
x_plant3_pipe24_d4;0
y_plant3_pipe24_d4;0
x_plant3_pipe25_d1;0
y_plant3_pipe25_d1;1
x_plant3_pipe25_d3;0
y_plant3_pipe25_d3;0
x_plant3_pipe25_d4;0
y_plant3_pipe25_d4;0
x_plant3_pipe26_d1;0
y_plant3_pipe26_d1;1
x_plant3_pipe26_d3;0
y_plant3_pipe26_d3;0
x_plant3_pipe26_d4;0
y_plant3_pipe26_d4;0
x_plant3_pipe27_d1;237,3
y_plant3_pipe27_d1;1
x_plant3_pipe27_d3;0
y_plant3_pipe27_d3;0
x_plant3_pipe27_d4;0
y_plant3_pipe27_d4;0
x_plant4_pipe1_d1;0
y_plant4_pipe1_d1;1
x_plant4_pipe1_d3;0
y_plant4_pipe1_d3;0
x_plant4_pipe1_d4;0
y_plant4_pipe1_d4;0
x_plant4_pipe2_d1;0
y_plant4_pipe2_d1;1
x_plant4_pipe2_d3;0
y_plant4_pipe2_d3;0
x_plant4_pipe2_d4;0
y_plant4_pipe2_d4;0
x_plant4_pipe3_d1;0
y_plant4_pipe3_d1;1
x_plant4_pipe3_d3;0
y_plant4_pipe3_d3;0
x_plant4_pipe3_d4;0
y_plant4_pipe3_d4;0
x_plant4_pipe4_d1;0
y_plant4_pipe4_d1;1
x_plant4_pipe4_d3;0
y_plant4_pipe4_d3;0
x_plant4_pipe4_d4;0
y_plant4_pipe4_d4;0
x_plant4_pipe5_d1;0
y_plant4_pipe5_d1;1
x_plant4_pipe5_d3;0
y_plant4_pipe5_d3;0
x_plant4_pipe5_d4;0
y_plant4_pipe5_d4;0
x_plant4_pipe6_d1;0
y_plant4_pipe6_d1;1
x_plant4_pipe6_d3;0
y_plant4_pipe6_d3;0
x_plant4_pipe6_d4;0
y_plant4_pipe6_d4;0
x_plant4_pipe7_d1;0
y_plant4_pipe7_d1;1
x_plant4_pipe7_d3;0
y_plant4_pipe7_d3;0
x_plant4_pipe7_d4;0
y_plant4_pipe7_d4;0
x_plant4_pipe8_d1;0
y_plant4_pipe8_d1;1
x_plant4_pipe8_d3;0
y_plant4_pipe8_d3;0
x_plant4_pipe8_d4;0
y_plant4_pipe8_d4;0
x_plant4_pipe9_d1;0
y_plant4_pipe9_d1;1
x_plant4_pipe9_d3;0
y_plant4_pipe9_d3;0
x_plant4_pipe9_d4;0
y_plant4_pipe9_d4;0
x_plant4_pipe10_d1;0
y_plant4_pipe10_d1;1
x_plant4_pipe10_d3;0
y_plant4_pipe10_d3;0
x_plant4_pipe10_d4;0
y_plant4_pipe10_d4;0
x_plant4_pipe11_d1;151,42
y_plant4_pipe11_d1;1
x_plant4_pipe11_d3;0
y_plant4_pipe11_d3;0
x_plant4_pipe11_d4;0
y_plant4_pipe11_d4;0
x_plant4_pipe12_d1;131,26
y_plant4_pipe12_d1;1
x_plant4_pipe12_d3;0
y_plant4_pipe12_d3;0
x_plant4_pipe12_d4;0
y_plant4_pipe12_d4;0
x_plant4_pipe13_d1;0
y_plant4_pipe13_d1;1
x_plant4_pipe13_d3;0
y_plant4_pipe13_d3;0
x_plant4_pipe13_d4;0
y_plant4_pipe13_d4;0
x_plant4_pipe14_d1;0
y_plant4_pipe14_d1;1
x_plant4_pipe14_d3;0
y_plant4_pipe14_d3;0
x_plant4_pipe14_d4;0
y_plant4_pipe14_d4;0
x_plant4_pipe15_d1;0
y_plant4_pipe15_d1;1
x_plant4_pipe15_d3;0
y_plant4_pipe15_d3;0
x_plant4_pipe15_d4;0
y_plant4_pipe15_d4;0
x_plant4_pipe16_d1;0
y_plant4_pipe16_d1;1
x_plant4_pipe16_d3;0
y_plant4_pipe16_d3;0
x_plant4_pipe16_d4;0
y_plant4_pipe16_d4;0
x_plant4_pipe17_d1;0
y_plant4_pipe17_d1;1
x_plant4_pipe17_d3;0
y_plant4_pipe17_d3;0
x_plant4_pipe17_d4;0
y_plant4_pipe17_d4;0
x_plant4_pipe18_d1;0
y_plant4_pipe18_d1;1
x_plant4_pipe18_d3;0
y_plant4_pipe18_d3;0
x_plant4_pipe18_d4;0
y_plant4_pipe18_d4;0
x_plant4_pipe19_d1;0
y_plant4_pipe19_d1;1
x_plant4_pipe19_d3;0
y_plant4_pipe19_d3;0
x_plant4_pipe19_d4;0
y_plant4_pipe19_d4;0
x_plant4_pipe20_d1;0
y_plant4_pipe20_d1;1
x_plant4_pipe20_d3;0
y_plant4_pipe20_d3;0
x_plant4_pipe20_d4;0
y_plant4_pipe20_d4;0
x_plant4_pipe21_d1;0
y_plant4_pipe21_d1;1
x_plant4_pipe21_d3;0
y_plant4_pipe21_d3;0
x_plant4_pipe21_d4;0
y_plant4_pipe21_d4;0
x_plant4_pipe22_d1;0
y_plant4_pipe22_d1;1
x_plant4_pipe22_d3;0
y_plant4_pipe22_d3;0
x_plant4_pipe22_d4;0
y_plant4_pipe22_d4;0
x_plant4_pipe23_d1;0
y_plant4_pipe23_d1;1
x_plant4_pipe23_d3;0
y_plant4_pipe23_d3;0
x_plant4_pipe23_d4;0
y_plant4_pipe23_d4;0
x_plant4_pipe24_d1;0
y_plant4_pipe24_d1;1
x_plant4_pipe24_d3;0
y_plant4_pipe24_d3;0
x_plant4_pipe24_d4;0
y_plant4_pipe24_d4;0
x_plant4_pipe25_d1;0
y_plant4_pipe25_d1;1
x_plant4_pipe25_d3;0
y_plant4_pipe25_d3;0
x_plant4_pipe25_d4;0
y_plant4_pipe25_d4;0
x_plant4_pipe26_d1;286,28027332145
y_plant4_pipe26_d1;0,810992275698158
x_plant4_pipe26_d3;0
y_plant4_pipe26_d3;0
x_plant4_pipe26_d4;384,81972667855
y_plant4_pipe26_d4;0,189007724301842
x_plant4_pipe27_d1;0
y_plant4_pipe27_d1;1
x_plant4_pipe27_d3;0
y_plant4_pipe27_d3;0
x_plant4_pipe27_d4;0
y_plant4_pipe27_d4;0
x_plant5_pipe1_d1;0
y_plant5_pipe1_d1;1
x_plant5_pipe1_d3;0
y_plant5_pipe1_d3;0
x_plant5_pipe1_d4;0
y_plant5_pipe1_d4;0
x_plant5_pipe2_d1;0
y_plant5_pipe2_d1;1
x_plant5_pipe2_d3;0
y_plant5_pipe2_d3;0
x_plant5_pipe2_d4;0
y_plant5_pipe2_d4;0
x_plant5_pipe3_d1;0
y_plant5_pipe3_d1;1
x_plant5_pipe3_d3;0
y_plant5_pipe3_d3;0
x_plant5_pipe3_d4;0
y_plant5_pipe3_d4;0
x_plant5_pipe4_d1;86,35
y_plant5_pipe4_d1;1
x_plant5_pipe4_d3;0
y_plant5_pipe4_d3;0
x_plant5_pipe4_d4;0
y_plant5_pipe4_d4;0
x_plant5_pipe5_d1;343,097961972668
y_plant5_pipe5_d1;0,97194890077243
x_plant5_pipe5_d3;0
y_plant5_pipe5_d3;0
x_plant5_pipe5_d4;57,1120380273322
